nom,lat,lon,adr1,adr2,adr3,adr4,tel,mail,web,intro,langues_nbr,langues,visite,activites_nbr,activites,services_nbr,services,url
"Château de Nitray",47.320123,0.915349,"Château de Nitray","37270 ATHEE-SUR-CHER",,,"02 47 50 29 74",nitray@visit-chateau.com,http://www.visit-chateau.com,"<p>Le Château de NITRAY, des XVème et XVIème siècles, est situé en
bordure du Cher. Les vignes sont présentes depuis trois siècles sur
une superficie de 10 hectares. Mr de l’ESPINAY vous accueille toute
l’année. Votre brochure en main, visitez la cour d’honneur, la
chapelle, le pigeonnier, le chai, les caves, puis enfourchez une
bicyclette mise gracieusement à votre disposition à travers le parc
de 43 hectares ou au bord du Cher. La visite continue par la
dégustation des vins du domaine et la projection de films de 1937
et 2007 sur la tonnellerie d'hier à aujourd'hui.</p>",2,"Anglais
Espagnol",oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/chateau-de-nitray-athee-sur-cher
"Centre Aquatique du Lac",47.368362,0.69746,"CENTRE AQUATIQUE DU LAC","275 avenue Grammont","37000 TOURS",,"02 47 80 78 10",,http://www.centre-aquatique-du-lac.fr,"<p>Loisirs aquatiques en plein coeur de Tours : bassin extérieur 50
m, bassins ludiques, sauna, hammam, jacuzzi...</p>",0,,,3,"Piscine
Balnéothérapie
Centre de soins / Bien être",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/centre-aquatique-du-lac-tours
"Pierre Prieur",47.222302,0.111405,"Pierre Prieur","1 rue des Mariniers",Bertignolles,"37420 SAVIGNY-EN-VERON","02 47 58 45 08",,,"<p>Le Domaine de 16 hectares est situé au bord de la Loire dans le
village de Bertignolles. Les caves troglodytiques de la propriété
sont à 50m du Château Montsoreau et peuvent être visiter sur simple
demande . Des bouteilles gravées et des coffrets cadeaux sont en
vente dans la boutique.</p>",0,,oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/pierre-prieur-savigny-en-veron
"Domaine Taluau Foltzenlogel",47.284852,0.12535,"EARL TALUAU FOLZENLOGEL","11 rue Chevrette","Route N° 17","37140 SAINT-NICOLAS-DE-BOURGUEIL","02 47 97 78 79",joel.taluau@wanadoo.fr,http://www.vins-taluau-foltzenlogel.com,"<p>Au coeur de la terrasse de Graviers de St Nicolas, notre
vignoble de 27 hectares, en reconversion biologique, abrite de
beaux cabernet franc récoltés avec les meilleures maturités en
vendanges manuelles. Vous y dégusterez les vins dans la salle àla
fois moderne et de caractère avec vue sur l'activité du chais.
Soyez les bienvenues !</p>",2,"Français
Anglais",oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-taluau-foltzenlogel-saint-nicolas-de-bourgueil
"ZooParc de Beauval",47.246605,1.349051,Beauval,"41110 SAINT-AIGNAN",,,"02 54 75 50 00",infos@zoobeauval.com,http://www.zoobeauval.com,"<p>Un amphithéâtre de 3000 places accueille un spectacle inédit
d’oiseaux en vol libre ""Les Maîtres des Airs"" et l’une des plus
grandes piscines d’Europe permet d’admirer les otaries sous l’eau.
Nouveau: Un vaste espace de verdure surplombé par un amphithéâtre
de 3000 places accueillant un spectacle inédit d'oiseaux en vol
libre...</p>",2,"Français
Anglais",oui,2,"Zoo
parc animalier",2,"Animations thématiques spécifiques
Boutique",http://www.touraineloirevalley.com/dormir-manger-sortir/activites/zooparc-de-beauval-saint-aignan
"Circuit équestre et VTT Bourgueil",47.282487,0.168611,"37140 BOURGUEIL",,,,"02 41 38 38 88",maisonduparc@parc-loire.anjou-touraine.fr,,"<p>En VTT, à cheval ou en attelage, partez à la découverte du Parc
naturel régional et de ses paysages, entre Saumur et Bourgueil. Cet
itinéraire balisé de 23 km, sélectionné pour la qualité de son
cheminement et la variété des paysages et des patrimoines, réserve
aux vététistes, aux cavaliers émérites ou aux débutants de
magnifiques découvertes. Chaque boucle est aménagée : parking pour
les vans, barres d'attache dans les villages et sur les sites de
visite, points d'eau potable et possibilités d'hébergements adaptés
aux cavaliers et leur monture.</p>",0,,,1,Equitation,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/circuit-equestre-et-vtt-bourgueil-bourgueil
"Vannerie Aurélien & Étienne Métézeau",47.231255,0.497603,"VANNERIE AURELIEN & ETIENNE METEZEAU","54 rue de la Galandière","37190 VILLAINES-LES-ROCHERS",,"02 47 45 25 15",vannerie.osier@wanadoo.fr,http://www.vannerie.osier.over-blog.com,"<p>Vannerie de tradition fabrication stages cours de vannerie,
vente d'osier, Créateur d'oiseaux en osier. Paniers, berceaux,
coffres, fauteuils, tiroirs sur mesure, objets déco... Visite
gratuite de l'exposition vente et de l'atelier familial du vannier
au travail. Exposition permanente.</p>",1,Anglais,,3,"Activités pour les enfants(6 ans)
Activités pour les familles
Vannerie",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/vannerie-aurelien-etienne-metezeau-villaines-les-rochers
"Art Montgolfières",47.128158,0.997664,"ART MONTGOLFIERES","37600 LOCHES",,,"02 54 32 08 11",charles@art-montgolfieres.fr,http://www.art-montgolfieres.fr,"<p>Vol en montgolfière à la découverte des Châteaux du Val de
Loire. Prestation de 3h : mise en place de la montgolfière, vol
excursion 1h, toast des aérosties, remise des diplômes, retour en
4X4 au site de décollage. Départ de Chenonceaux, Amboise, Chaumont,
Loches.</p>",3,"Français
Anglais
Espagnol",,1,Montgolfière,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/art-montgolfieres-loches
"Vignoble Brisebarre",47.412068,0.799248,"VIGNOBLE BRISEBARRE","37210 VOUVRAY",,,"02 47 52 63 07",02%2047%2052%2065%2059,,,2,"Anglais
Allemand",,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/vignoble-brisebarre-vouvray
"Domaine de Noiré - Balade en calèche",47.166149,0.262293,"DOMAINE DE NOIRE","160 rue de l'Olive","37500 CHINON",,"02 47 93 44 89",domaine.de.noire@orange.fr,http://www.domainedenoire.com,,1,Anglais,,1,Attelage,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-de-noire-balade-en-caleche-chinon
"Domaine vigneau-chevreau",47.450057,0.854069,"DOMAINE VIGNEAU CHEVREAU","4 rue du Clos Baglin","Vallée de Vau","37210 CHANCAY","02 47 52 93 22",contact@vigneau-chevreau.com,http://www.vigneau-chevreau.com,"<p>Notre domaine de 26 hectares est reparti sur 3 communes de
l'appellation Vouvray en culture Biodynamique. Le vieillissement de
nos vins se fait en caves troglodytiques. La visite des belles
caves se fait par étape et par types de vin : sec, demi-sec et en
finale le moelleux! Alors pensez à vos pulls car la température ne
dépasse jamais 12° dans le tuffeau et le temps passe vite en
compagnie de la famille Chevreau!</p>",1,Anglais,oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-vigneau-chevreau-chancay
"Paint Ball",47.454585,1.099223,"Camping de la poterie","12 rue des Thomeaux","37530 MOSNES",,,lecampingdelapoterie@gmail.com,http://www.lecampingdelapoterie.fr,,1,Anglais,,1,"Paint Ball",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/paint-ball-mosnes
"Planétarium de Tauxigny",47.221708,0.833346,"PLANETARIUM DE TAUXIGNY","Observatoire astronomique de Ligoret","37310 TAUXIGNY",,"02 47 91 82 82",planetarium-tauxigny@orange.fr,http://www.astrotouraine.fr,"<p>Planétarium numérique de 28 places et de 6 mètres de diamètre.
Ouvert aux enfants des écoles et au public. Réservations
obligatoires.</p>",1,Anglais,,3,"Activités pour les enfants(8 ans)
Activités pour les familles
Astronomie",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/planetarium-de-tauxigny-tauxigny
"Lulu parc",47.414169,0.754852,"LULU PARC","Parc de Loisirs","37210 ROCHECORBON",,"02 47 52 58 40",contact@luluparc.com,http://www.luluparc.com,"<p>En bord de Loire, 3 ha de détente et de jeux. Trampolines,
manège et jeux nautiques, piscine à boules, petit train, toboggans
aquatiques, piste de luges, balançoires, poneys, montagnes molles,
bateaux à manivelle, kartings à pédales, voitures tamponneuses,
mini-ferme...</p>",0,,,3,"Jeux pour enfants
Mini golf
Parc à thèmes",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/lulu-parc-rochecorbon
"Découverte de la Loire en bateau traditionnel - Association
Millière Raboton Homme de loire",47.413326,0.984407,"ASSOCIATION MILLIERE RABOTON HOMME DE",LOIRE,"37530 AMBOISE",,"06 88 76 57 14",m.raboton@wanadoo.fr,http://www.milliere-raboton.net,"<p>Promenades conviviales au fil de l'eau pour une découverte
respectueuse et authentique du fleuve, à la rencontre de sa faune,
sa flore, ses caprices, son histoire et celle des hommes qui l'ont
fréquenté au cours des siècles. Possibilités d'animations,
initiation à la pêche traditionnelle, pique-niques &amp; soirées,
affûts &amp; balades à l'aube ou au crépuscule. Navigation toute
l'année (maxi 12 pers. par bateau - 8 bateaux). Départ de Chaumont
sur Loire (41) ou Amboise (37).</p>",1,Anglais,,1,"Bateaux promenade",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/decouverte-de-la-loire-en-bateau-traditionnel-association-milliere-raboton-homme-de-loire-amboise
"Château moncontour",47.412068,0.799248,"CHATEAU MONCONTOUR","Rue de moncontour","37210 VOUVRAY",,"02 47 52 60 77",infos@moncontour.com,http://www.moncontour.com,"<p>Le vignoble de Moncontour est l'un des plus anciens du Val de
Loire et dès le Xème siècle, on creuse des caves à flanc de coteau
pour vinifier et conserver ce vin précieux. Dès la renaissance, il
acquiert une grande renommée et s’exporte à l'étranger, notamment
dans les pays du nord de l'Europe. Outre ses vignes qui se
cultivent sur les meilleurs coteaux surplombant la Vallée de la
Loire, le Domaine de Moncontour offre aux amateurs de vins un cadre
historique avec son élégant château.</p>",1,Anglais,oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/chateau-moncontour-vouvray
"Parc de loisirs Capitaine",47.244828,0.161275,"Parc Capitaine","Route de Port Boulet","37140 BOURGUEIL",,"02 47 97 82 81",contact@bourgueil.fr,http://www.bourgueil.fr,"<p>Base de loisirs avec mini-golf, baignade surveillée, jeux pour
enfants, aire de pique-nique &amp; snack bar. Parking à
proximité.</p>",0,,oui,8,"Activités pour les enfants
Activités pour les familles
Jeux pour enfants
Piscine
Plage surveillée
Mini golf
Plan d'eau
rivière",1,"Espace jeux",http://www.touraineloirevalley.com/dormir-manger-sortir/activites/parc-de-loisirs-capitaine-bourgueil
"Point de dépôt Détours de Loire",47.331681,1.067526,"DETOURS DE LOIRE","Hôtel Relais Chenonceaux","10 rue du Docteur Bretonneau","37150 CHENONCEAUX","02 47 61 22 23",detoursdeloire@orange.fr,http://www.detoursdeloire.com,"<p>Notre volonté est de permettre aux personnes souhaitant
découvrir la région du Val de Loire à vélo, de circuler à son
rythme sur des routes peu fréquentées en utilisant les différents
points relais répartis le long de la Loire. Ce réseau permet de
découvrir un maximum de sites sans la contrainte du retour de vélo.
Dans chaque point du réseau le long de la Vallée de la Loire, à
proximité d'une gare SNCF, vous trouverez du matériel de qualité et
des tarifs identiques.</p>",2,"Anglais
Espagnol",,1,Cyclotourisme,3,"Livraison de vélos
Réparation vélos
Transfert de bagages",http://www.touraineloirevalley.com/dormir-manger-sortir/activites/point-de-depot-detours-de-loire-chenonceaux
"Domaine de la Cotelleraie",47.286662,0.122594,"DOMAINE DE LA COTELLERAIE","La Cotelleraie","37140 SAINT-NICOLAS-DE-BOURGUEIL",,"02 47 97 75 53",gerald.vallee@wanadoo.fr,,"<p>Le Domaine de la Cotelleraie se trouve au cœur du vignoble de St
Nicolas de Bourgueil. Vous serez accueillis dans les dépendances
(XIXème siècle) entièrement rénovées. Une visite du chai est
proposée spontanément et permet de comprendre le rôle du passage en
barrique : une immersion dans l’univers du bois à ne pas manquer.
La famille Vallée vous attend pour vous faire partager ,son
savoir-faire et apprécier les vins de St Nicolas de Bourgueil.</p>",2,"Français
Anglais",oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-de-la-cotelleraie-saint-nicolas-de-bourgueil
"Domaine des Ouches",47.292633,0.267946,"DOMAINE DES OUCHES","3 rue des ouches","37140 INGRANDES-DE-TOURAINE",,"02 47 96 98 77",domainedesouches@wanadoo.fr,http://www.domainedesouches.com,"<p>Depuis huit générations, nous travaillons en famille sur le
Domaine des Ouches. Thomas et Denis Gambier mènent ce vignoble de
17 hectares situé sur la commune d’Ingrandes de Touraine dans
l’Appellation Bourgueil. Ils produisent plusieurs vins rouges en
séparant leurs différents terroirs. Ils proposent également un vin
rosé qui vient souligner d’autres aspects de notre cépage : le
Cabernet Franc.</p>",3,"Français
Anglais
Espagnol",oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-des-ouches-ingrandes-de-touraine
"Domaine de la Chevalerie",47.291169,0.238943,CASLOT,"14 rue du peu muleau","37140 RESTIGNE",,"02 47 97 46 32",chevalerie@caslot.fr,http://www.domainedelachevalerie.fr,"<p>Aussi franc que son cabernet, Pierre Caslot, le vigneron de la
Chevalerie, a toujours eu le sourire aux lèvres pour recevoir ses
clients, dont beaucoup sont devenus ses amis. Pierre et ses enfants
: Stéphanie et Emmanuel, exploitent 33 hectares de vignes et vous
invitent à découvrir leur gamme de vins dans la cave-cathédrale
souterraine.</p>",2,"Français
Anglais",oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-de-la-chevalerie-restigne
"Balades insolites en Val de Loire",47.131352,0.170975,"BALADES INSOLITES EN VAL DE LOIRE","37500 SEUILLY",,,"02 47 95 93 15",info@cpievaldeloire.org,http://www.cpievaldeloire.org,"<p>Balades à pied accompagnées par un guide naturaliste, à la
découverte du Val de Loire. Rencontre de la faune sauvage, visite
insolite d'un village, découverte de la flore, ou de la forêt de
nuit... Laissez-vous guider et vivez la nature !</p>",1,Anglais,,3,"Activités pour les enfants(6 ans)
Activités pour les familles
Randonnée pédestre",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/balades-insolites-en-val-de-loire-seuilly
"L'Oenologie Dévoilée - Loire Wine Tours - Oenotourisme en Val
de Loire",47.404114,1.008265,"L'OENOLOGIE DEVOILEE","7 rue des Vallées","37400 AMBOISE",,"06 64 35 04 34",lprunet@hotmail.com,,"<p>Découverte des vins et vignobles de Loire lors d'animations de
dégustations en hébergement payant, à domicile ou en entreprise.
Possibilité d'excursions dans le vignoble. Animation de jeux de
dégustation.</p>",2,"Français
Anglais",,3,"Activités pour les enfants(7-8 ans)
Activités pour les familles
Oenologie",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/l-oenologie-devoilee-loire-wine-tours-oenotourisme-en-val-de-loire-amboise
"Icarus Paramoteur",47.043361,0.540748,"ICARUS PARAMOTEUR","La Canté","37800 MARCILLY-SUR-VIENNE",,,contact@icarus-paramoteur.fr,http://www.icarus-paramoteur.fr,,1,Français,,1,Parapente,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/icarus-paramoteur-marcilly-sur-vienne
"Domaine Mosny",47.368243,0.898652,"Domaine Mosny",Cangé,"Rue des Vignes","37270 SAINT-MARTIN-LE-BEAU","02 47 50 61 84",thierry.mosny@orange.fr,,"<p>Le Domaine Mosny de 14 hectares est situé en plein cœur du
vignoble de St Martin le Beau. Un accueil tout en simplicité vous
permettront de passer un moment conviviale et de découvrir notre
savoir faire. Vous pouvez également rester sur place dans notre
chambres d’hôtes en pleine vue des vignes.</p>",0,,oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-mosny-saint-martin-le-beau
"Montgolfière - Air Ballons Club",47.399104,0.983777,"MONTGOLFIERE - AIR BALLONS CLUB","10 impasse du Clos","37150 DIERRE",,"02 47 57 93 08",michel.fauchon@nordnet.fr,http://www.air-ballons-club.fr,"<p>Vol en montgolfière en Touraine. École de pilotage.</p>",0,,,1,Montgolfière,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/montgolfiere-air-ballons-club-dierre
"Centre équestre de la Gouronniere",46.981589,0.488707,"LA GOURONNIERE","37120 MARIGNY MARMANDE",,,"02 47 58 37 95",la.gouronniere@aliceadsl.fr,http://www.pcce-lagouronniere.com,"<p>Poney-club, centre équestre, initiation à l'équitation,
promenades, randonnées équestres, attelage...(dressage, pension de
chevaux et poneys)</p>",1,Anglais,,3,"Activités pour les enfants(6 ans)
Activités pour les familles
Equitation Randonnée équestre Attelage",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/centre-equestre-de-la-gouronniere-marigny-marmande
"Atelier d'Offard",47.409561,0.682082,"ATELIER D'OFFARD","21 avenue André Maginot","37100 TOURS",,"02 47 67 93 22",contact@atelierdoffard.com,http://www.atelierdoffard.com,"<p>François-Xavier Richard perpétue avec l’Atelier d’Offard, le
savoir-faire des papiers peints à la planche des grandes
manufactures du XVIIIème et XIXème siècle. Dans un esprit de
recherche et d’innovation, l'atelier produit des papiers peints
d’époque à partir de documents iconographiques originaux.</p>",1,Anglais,,1,"Peintures arts graph.",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/atelier-d-offard-tours
"Art & Touraine gourmande",47.324948,0.406722,"ART & TOURAINE GOURMANDE","24 rue Gambetta","37130 LANGEAIS",,"02 47 96 54 46",,,"<p>Boutique typique tourangelle, produits en provenance directs de
la ferme + de 80 producteurs, + de 1000 références, spécialités
tourangelles, artisanat d'art local, produits laitiers, vins de
Touraine (13 AOC), épicerie fine....</p>",1,Français,oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/art-touraine-gourmande-langeais
"La Cave du Roy",47.392456,0.693569,"LA CAVE DU ROY","43 rue Bernard Palissy","37000 TOURS",,"02 36 43 60 13",lacaveduroy@sfr.fr,,"<p>Vente de vins (bouteille à emporter), soirées dégustation, cours
d'oenologie, vente d'article de cave...</p>",1,Anglais,oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/la-cave-du-roy-tours
"Domaine de la chanteleuserie",47.298573,0.227908,"EARL BOUCARD THIERRY","La chanteleuserie","37140 BENAIS",,"02 47 97 30 20",t-boucard@wanadoo.fr,http://vin-bourgueil-boucard.com,"<p>Notre domaine est situé à Benais sur l'ère d'appellation
Bourgueil, entre Tours et Saumur, sur la rive nord de la Loire.
Créé en 1822, il est dirigé actuellement par Thierry BOUCARD qui
représente la 7ème génération de vigneron. Notre vignoble se
constitue de 22 hectares, 19 en AOC Bourgueil et 3 en St Nicolas de
Bourgueil. Vous êtes accueillis dans un ancien chai d’époque où
nous avons le plaisir de vous faire découvrir nos différents vins
et nos méthodes de vinification. En dégustation, nous vous
proposons plusieurs cuvées et plusieurs millésimes pour votre plus
grand plaisir.</p>",2,"Français
Anglais",oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-de-la-chanteleuserie-benais
"Domaine Sylvain Gaudron",47.420345,0.855342,"EARL DOMIANE SYLVAIN GAUDRON","59 rue Neuve","37210 VERNOU-SUR-BRENNE",,"02 47 52 12 27",sylvain.gaudron@wanadoo.fr,http://www.vouvray-gaudron.com,"<p>Le Domaine Sylvain GAUDRON de 25 hectares est située àdeux pas
de la Loire dans un charmant village, près du Château de Jallanges.
Venez déguster les nombreux vins de Vouvray élaborés avec le grand
soin dans les caves troglodytiques du XIII siècle. Le Domaine
produit également du jus de raisin de cépage chenin blanc qui peut
ê,tre déguster par toute la famille.</p>",0,,oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-sylvain-gaudron-vernou-sur-brenne
"Cave Saint Vincent",47.391752,0.666567,"CAVE SAINT VINCENT","8 rue du Lieutenant Roze","37520 LA RICHE",,"02 47 39 58 65",cave.saint.vincent@orange.fr,http://www.cavestvincent37.com,"<p>A la porte ouest de la capitale tourangelle, venez découvrir une
large sélection de Vins de Loire dans un décor qui va vous faire
remonter le temps.</p>",1,Anglais,,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/cave-saint-vincent-la-riche
"Tours Langues",47.394671,0.681509,"TOURS LANGUES","36 rue Briçonnet","37000 TOURS",,"02 47 66 01 00",info@langues.com,http://www.langues.com,"<p>Enseignement du français aux étrangers. Enseignement de
l'anglais, l'allemand, l'espagnol. Formation professionnelle en
partenariat avec le CFA de la CMA37 en pâtisserie, boulangerie,
traiteur, esthétique.</p>",4,"Anglais
Allemand
Italien
Japonais",,1,"Cours de langue",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/tours-langues-tours
