DATE DE CLASSEMENT;DATE DE PUBLICATION DE L'ETABLISSEMENT;TYPOLOGIE ÉTABLISSEMENT;CLASSEMENT;CATÉGORIE;MENTION;NOM COMMERCIAL;ADRESSE;CODE POSTAL;COMMUNE;TÉLÉPHONE;COURRIEL;SITE INTERNET;TYPE DE SÉJOUR;CAPACITÉ D'ACCUEIL (PERSONNES);NOMBRE DE CHAMBRES;NOMBRE D'EMPLACEMENTS;NOMBRE D'UNITES D'HABITATION;NOMBRE DE LOGEMENTS
27/06/2012;27/06/2012;CAMPING;3 étoiles;Tourisme;0;CAMPING LES GRANGES;Avenue de l'europe;37230;LUYNES;247557905;reception@campinglesgranges.fr;http://www.campinglesgranges.fr;0;0;0;63;0;0
23/05/2012;25/05/2012;CAMPING;2 étoiles;Tourisme;0;CAMPING DE L'ISLETTE;23 rue de Vallières;37230;FONDETTES;247422642;patrick.mortier@akeonet.com;www.camping-de-lislette.ruedesloisirs.com;0;0;0;18;0;0
10/09/2012;10/09/2012;CAMPING;2 étoiles;Tourisme;0;CAMPING MUNICIPAL ;avenue de la gare;37240;LIGUEIL;247596044;camping@ville-ligueil.fr;http://www.ville-ligueil.fr/;0;0;0;36;0;0
06/12/2012;06/12/2012;CAMPING;3 étoiles;Tourisme;0;CAMPING LA GRANGE ROUGE;parc de la grange rouge;37250;MONTBAZON;247260643;contact@camping-montbazon.com;http://www.camping-montbazon.com;0;0;0;108;0;0
12/10/2012;12/10/2012;CAMPING;3 étoiles;Tourisme;0;CAMPING LA PLAGE;Route Départementale 50;37250;VEIGNE;247349539;contatc@campingveigne.fr;0;0;0;0;118;0;0
07/08/2012;07/08/2012;CAMPING;3 étoiles;Tourisme;0;CAMPING LES ISLES;rue des isles;37270;VÉRETZ;247275089;latitudes37@live.fr;http://camping-tours.com;0;0;0;64;0;0
20/07/2012;20/07/2012;CAMPING;3 étoiles;Tourisme;0;CAMPING DES PEUPLIERS;route départementale 751;37270;MONTLOUIS-SUR-LOIRE;386379583;aquadis1@orange.fr;0;0;0;0;83;0;0
06/12/2012;06/12/2012;CAMPING;3 étoiles;Tourisme;0;"CAMPING MUNICIPAL """"LES BORDS DE CLAISE""""";Camping municipal;37290;PREUILLY-SUR-CLAISE;247945004;mairie-preuilly@wanadoo.fr;http://preuillysurclaise.fr;0;0;0;38;0;0
05/11/2012;05/11/2012;CAMPING;3 étoiles;Tourisme;0;CAMPING MUNICIPAL DU VAL JOYEUX;route de chinon et de bourgueil ;37330;CHÂTEAU-LA-VALLIÈRE;247240493;info@campingduvaljoyeux.fr;www.campingduvaljoyeux.fr;0;0;0;52;0;0
20/10/2011;20/10/2011;CAMPING;3 étoiles;Tourisme;0;HUTTOPIA  RILLE;Lac de Rillé;37340;RILLE;247246297;didier.bellissens@huttopia.fr;http://huttopia.com;0;0;0;133;0;0
30/09/2011;30/09/2011;CAMPING;2 étoiles;Loisirs;0;CLUB DU SOLEIL DE TOURAINE;Terrain de camping ;37340;CLERE LES PINS;247246231;cstouraine@sfr.fr;http://cstouraine.perso.sfr.fr;0;0;0;100;0;0
05/12/2012;05/12/2012;CAMPING;2 étoiles;Tourisme;0;CAMPING MUNICIPAL DU GRAND PRESSIGNY;RUE SAINT-MARTIN;37350;LE GRAND-PRESSIGNY;247949037;le-grand-pressigny@wanadoo.fr;0;0;0;0;35;0;0
05/11/2012;05/11/2012;CAMPING;2 étoiles;Tourisme;0;CAMPING LES RIOMS;LIEU-DIT LES RIOmS;37350;BARROU;2479453607;campinglesrioms@orange.fr;www.lesrioms.com;0;0;0;24;0;0
12/05/2011;18/05/2011;CAMPING;4 étoiles;0;0;L'ARADA PARC;88 RUE DE LA BARATIERE;37360;SONZAY;247247269;direction.laradaparc@orange.fr;http://www.laradaparc.com;0;0;0;92;0;0
13/08/2012;13/08/2012;CAMPING;3 étoiles;Tourisme;0;CAMPING LA FRITILLAIRE;rue basse;37420;SAVIGNY-EN-VERON;247580379;jeanlucdebart@yahoo.fr;http://camping-la-fritillaire.fr/;0;0;0;95;0;0
03/08/2011;03/08/2011;CAMPING;2 étoiles;Tourisme;0;CAMPING DE LA BLARDIÈRE;Espace de la Blardière;37420;RIGNY-USSÉ;247955585;rigny-usse-mairie@wanadoo.fr;http://rigny-usse.fr;0;0;0;52;0;0
24/06/2011;27/06/2011;CAMPING;4 étoiles;Tourisme;0;LES COTEAUX DU LAC;Base de loisirs;37460;CHEMILLÉ SUR INDROIS;247927783;lescoteauxdulac@wanadoo.fr;http://www.lescoteauxdulac.com;0;0;0;62;0;0
17/07/2012;17/07/2012;CAMPING;2 étoiles;Tourisme;0;CAMPING DE L'ILE AUGER;Quai Danton;37500;CHINON;247931415;monique.chaye.ccrcsb@orange.fr;http://camping-chinon.com;0;0;0;233;0;0
12/10/2012;12/10/2012;CAMPING;3 étoiles;Tourisme;0;CAMPING DE LA CONFLUENCE;CAMPING DE LA CONFLUENCE ROUTE DU BRAY;37510;SAVONNIÈRES;247500025;contact@campinglaconfluence.fr;0;0;0;0;64;0;0
20/10/2011;20/10/2011;CAMPING;4 étoiles;Tourisme;0;CAMPING DE LA MIGNARDIERE;22, avenue des aubépines;37510;BALLAN-MIRÉ;247733100;info@mignardiere.com;http://www.mignardiere.com;0;0;0;168;0;0
07/08/2012;07/08/2012;CAMPING;2 étoiles;Tourisme;0;CAMPING DE LA POTERIE;12 rue des Thomeaux;37530;MOSNES;247305090;reservation@fantasyforest.fr;http://www.fantasyforest.fr/sejour-camping.php;0;0;0;43;0;0
20/07/2012;20/07/2012;CAMPING;3 étoiles;Tourisme;0;CAMPING LE JARDIN BOTANIQUE;9 bis rue de la rivière;37530;LIMERAY;247301350;info@camping-jardinbotanique.com;http://www.camping-jardinbotanique.com;0;0;0;70;0;0
27/06/2012;27/06/2012;CAMPING;2 étoiles;Tourisme;0;CAMPING MUNICIPAL DES PÂTIS;0;37530;NAZELLES-NÉGRON;247237171;mairie.nazelles-negron@wanadoo.fr;http://nazellesnegron.fr;0;0;0;64;0;0
22/04/2011;26/04/2011;CAMPING;4 étoiles;Tourisme;0;CAMPING LA CITADELLE;camping la citadelle - Av aristide Briand;37600;LOCHES;247590591;camping@lacitadelle.com;http://www.lacitadelle.com;0;0;0;164;0;0
06/07/2012;06/07/2012;CAMPING;3 étoiles;Tourisme;0;CAMPING LES ACACIAS;Rue Bethe Morisot;37700;LA VILLE-AUX-DAMES;247440816;contact@camplvad.com;http://www.camplvad.com;0;0;0;88;0;0
19/09/2011;21/09/2011;CAMPING;2 étoiles;0;0;CAMPING LA CROIX DE LA MOTTE;RUE DE LA MOTTE;37800;MARCILLY SUR VIENNE;247652038;s.beillard@cc-saintemauredetouraine.fr;http://www.cc-saintemauredetouraine.fr;0;0;0;62;0;0
16/06/2011;16/06/2011;CAMPING;5 étoiles;Tourisme;0;PARC DE FIERBOIS;0;37800;STE CATHERINE DE FIERBOIS;247654335;rdelussac@fierbois.com;http://www.fierbois.com;0;0;0;420;0;0
