CATEGORIE;ETABLISSEMENT;EMAILCONTACT;SITEWEB;T‚l‚phone;Fax;CONTACT;HANDICAPS;ADRESSE;REGION;DEPARTEMENT
H‚bergement collectif;Gite de groupe Les Prairies de Noizay;chantepie.gressier@yahoo.fr;http://www.locagitetouraine.fr;247520114;;M.Gressier;"auditif ; mental ; moteur ; visuel";1 rue du 8 Mai 1945;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;Gite la Gringolerie;gregcam2@hotmail.fr;http://www.gites-touraine.fr;247293695;;Mme Camin;"auditif ; mental ; moteur ; visuel";La Gringolerie;Centre;INDRE-ET-LOIRE
Camping;Camping La Confluence;contact@campinglaconfluence.fr;http://www.campinglaconfluence.fr;247500025;;M.Lafont;"auditif ; mental ; moteur";Route du Braye;Centre;INDRE-ET-LOIRE
H“tel-restaurant;Hotel restaurant Le Relais de la Mothe;relaisdelamothe@sfr.fr;http://www.relaisdelamothe.com;247914900;244845750;Mme de Rechechouard;"mental ; moteur";1 place du 11 novembre;Centre;INDRE-ET-LOIRE
H“tel;H“tel restaurant Ibis Amboise;H0908@accor.com;http://www.ibishotel.com;247231023;247573141;Mme Brunet Jossier;mental;Bd Saint Denis La BoitardiŠre;Centre;INDRE-ET-LOIRE
Lieu de visite;Chƒteau Royal;contact@chateau-amboise.com;http://www.chateau-amboise.com;247570098;247575223;M. Jean Louis Sureau;"auditif ; mental";BP 371;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de Tourisme du Val d'Amboise;contact@amboise-valdeloire.com;http://www.amboise-valdeloire.com;247570928;247571435;M. G‚rard Guerlais;"auditif ; mental ; moteur ; visuel";Quai du G‚n‚ral de Gaulle BP 233;Centre;INDRE-ET-LOIRE
H“tel;H“tel de Biencourt;biencourt@infonie.fr;http://www.hotelbiencourt.com;247452075;247459173;M. Fargues;"mental ; moteur";7 rue Balzac;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de Tourisme d'Azay le Rideau;contact@azaylerideau-tourisme.com;http://www.azaylerideau-tourisme.com;247454440;247453146;Mme Carreau;"auditif ; moteur ; mental ; visuel";4 rue du Chƒteau;Centre;INDRE-ET-LOIRE
Lieu de visite;Mus‚e Maurice Dufresne;contact@musee-dufresne.com;http://www.musee-dufresne.com;247453618;247452862;Mme Boissoneau;"auditif ; mental ; moteur ; visuel";Moulin de Marnay;Centre;INDRE-ET-LOIRE
Restaurant;Restaurant C“t‚ Cour;sandrinezoefred@live.fr;http://www.cotecour-azay.com;247453036;;M. Sanchez;"auditif ; mental ; moteur";19 rue Balzac;Centre;INDRE-ET-LOIRE
Lieu de visite;Vall‚e Troglodytique des GoupilliŠres;contact@troglodytedesgoupillieres.fr;http://www.troglodytedesgoupillieres.fr/;247966084;247965025;M. Louis-Marie Chardon;"auditif ; mental";Les GoupilliŠres;Centre;INDRE-ET-LOIRE
Lieu de visite;Maison des Vins et du Tourisme;mdv@cc-veron.fr;http://www.mdv.petitfute.com;247588617;247588642;M. Guionnet;"auditif ; visuel ; moteur ; mental";14 rue du 8 Mai 1945;Centre;INDRE-ET-LOIRE
H“tel;H“tel Le Thouarsais;;http://www.hotel-le-thouarsais.fr;247977205;;M. Bernard Caillaut;mental;10 place Hublin;Centre;INDRE-ET-LOIRE
Activit‚s sportives de pleine nature;Randonn‚es Anes Bƒt‚s;celine@loirevelonature.com;http://www.loirevelonature.com;603892314;247964239;Mme Dodokal;"auditif ; visuel ; mental";Rue de la PougŠne;Centre;INDRE-ET-LOIRE
Loisirs;Bateau Promenade La Belle AdŠle;info@bateauamarante.com;http://www.bateauamarante.com;247958085;2477959257;M. Delaporte;"moteur ; mental";1 bis rue des PerriŠres;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;GŒte rural de Mme Bruneau;bruneau.annick@laposte.net;http://www.gites-touraine.com;247947207;247947598;Mme Bruneau;mental;B‚cheron;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;GŒte Les Ecureuils;ecureuiltouraine@yahoo.fr;http://www.gite-touraine.com;247453974;;Mme Laurence Le Guerroue - Barranca;"auditif ; moteur ; mental";7 chemin du Grand Vaujoin;Centre;INDRE-ET-LOIRE
Camping;Camping Les C“teaux du Lac;lescoteauxdulac@wanadoo.fr;http://www.lescoteauxdulac.com;247927783;247927295;M. Joyaut;"auditif ; moteur ; mental";;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;Chalet PMR Parc des C“teaux;lescoteauxdulac@wanadoo.fr;http://www.coteauxdulac.com;247927783;;M. Emmanuel Dugas;"auditif ; moteur ; mental";Parc des C“teaux Base de loisirs;Centre;INDRE-ET-LOIRE
Restaurant;Restaurant Brasserie du Lac;lescoteauxdulac@wanadoo.fr;http://www.lescoteauxdulac.com;247927779;;Mme Elisabeth Dugas;"auditif ; visuel ; moteur ; mental";;Centre;INDRE-ET-LOIRE
Restaurant;Restaurant Le Moulin de Chaud‚;steph.villeret@orange.fr;http://www.lemoulindechaude.com;247927131;247927140;M. Villeret;"auditif ; mental ; visuel";;Centre;INDRE-ET-LOIRE
Lieu de visite;Cave touristique Baudry-Dutour;catherine@baudry-dutour.fr;http://www.baudry-dutour.fr;247930195;;M. Jean Martin Dutour;"auditif ; visuel ; moteur ; mental";Chƒteau de la Grille Route de Huismes;Centre;INDRE-ET-LOIRE
Lieu de visite;Cave touristique P&B Couly;contact@pb-couly.com;http://www.pb-couly.com;247936419;247930345;M. Bertrand Couly;"auditif ; visuel ; moteur ; mental";Rond Point des Closeaux Route de Tours;Centre;INDRE-ET-LOIRE
H“tel;H“tel Le Plantagenet;info@hotel-plantagenet.com;http://www.hotel-plantagenet.com;247933692;247984892;Mme Carvalho;"moteur ; mental";12 place Jeanne d'Arc;Centre;INDRE-ET-LOIRE
H“tel;H“tel restaurant Le Chinon;hotel.lechinon@wanadoo.fr;;247984646;247983544;M. Mongi Baalouch;"auditif ; visuel ; moteur ; mental";11 digue Saint Jacques;Centre;INDRE-ET-LOIRE
Lieu de visite;Itin‚raire de promenade de Chinon La Ville Fort (circuit 1);patrimoine@ville-chinon.com;http://www.ville-chinon.com;247935300;247984792;M. Jean-Pierre Duvergne;"auditif ; mental";Mairie de Chinon  Service Patrimoine et Mus‚es;Centre;INDRE-ET-LOIRE
Lieu de visite;Intin‚raire de d‚couverte Quartier Saint Etienne (circuit 2);patrimoine@ville-chinon.com;http://www.ville-chinon.com;247935300;247984792;M. Jean Pierre Duvergne;"auditif ; moteur ; mental";Mairie  Service Patrimoine et Mus‚e;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de Tourisme du Pays de Chinon;info@chinon-valdeloire.com;http://www.chinon-valdeloire.com;247931785;247939305;Mme Laigneau;"auditif ; mental ; moteur";1 place d'Hofheim BP 141;Centre;INDRE-ET-LOIRE
Restaurant;Restaurant Au Chapeau Rouge;chapeau.rouge@club-internet.fr;;247980808;247980808;M. Christophe Duguin;"auditif ; visuel ; moteur ; mental";49 Place du G‚n‚ral de Gaulle;Centre;INDRE-ET-LOIRE
Restaurant;Restaurant L'Oc‚anic;oceanic.restaurant@club-internet.fr;;247934455;247933808;M. Patrick Descoubes;"auditif ; visuel ; moteur ; mental";13 rue Rabelais;Centre;INDRE-ET-LOIRE
Loisirs;Bateau Promenade Ambacia;labelandre@wanadoo.fr;http://www.labelandre.com;247239864;247238148;M. Laurent Deprick;"auditif ; visuel ; moteur ; mental";Maison EclusiŠre BP 4;Centre;INDRE-ET-LOIRE
Restaurant;Auberge du Pont Neuf;contact@auberge-gastronomiques-37.com;http://www.touraine-gourmande.com;247596637;247596753;M. Gellot;"auditif ; mental";7 rue Armand B‚ranger;Centre;INDRE-ET-LOIRE
Chambre d'h“tes;Chambres d'H“tes La Guib‚rine;be.christiane@wanadoo.fr;http://www.laguiberine.free.fr;247301016;;Mme Christiane B‚;"auditif ; visuel ; moteur ; mental";19 route de la Fuye La Grange du Bois;Centre;INDRE-ET-LOIRE
Restaurant;Restaurant La Doucette;desnous.annie@wanadoo.fr;;247302339;;Mme Annie Desnous;"auditif ; visuel ; moteur ; mental";Route de Chenonceaux;Centre;INDRE-ET-LOIRE
Chambre d'h“tes;Chambres d'H“tes du Chƒteau de Charg‚;jerome@loirevalleyretreat.com;http://www.loirevalleyretreat.com;247958981;;M. J‚r“me Field;"auditif ; visuel ; mental";2 rue de Charg‚;Centre;INDRE-ET-LOIRE
Loisirs;Biky Concept Karting Loisirs;contact@racing-pb.com;http://www.karting-tours.fr;247320913;247320913;M. Champion;"auditif ; moteur ; mental";L'Ouche Saint Martin;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de Tourisme de la Touraine Sud;contact@tourainedusud.com;http://www.tourainedusud.com;247949682;247949692;M. Fran‡ois-Nicolas Joannes;"auditif ; moteur";Place Savoie Villars;Centre;INDRE-ET-LOIRE
Lieu de visite;Mus‚e de la Pr‚histoire;grandpressigny@cg37.fr;http://www.prehistoiregrandpressigny.fr;247949020;247949960;Mme Roiron;"moteur ; mental";;Centre;INDRE-ET-LOIRE
Lieu de visite;Chƒteau et jardins de contes de f‚es du Rivau;info@chateaudurivau.com;http://www.chateaudurivau.com;247957747;247957846;Mme Patricia Laigneau;"moteur ; mental";Le Coudray;Centre;INDRE-ET-LOIRE
Lieu de visite;Centre Historique de La Boule de Fort - Picroboule;bouledefortlerne@wanadoo.fr;http://www.cdc-rivegauchevienne.com/pages/picroboule.html;247958588;;M. Fouche;"auditif ; moteur ; mental";1 route de Thizay;Centre;INDRE-ET-LOIRE
Lieu de visite;Cave Domaine Dozon;dozon@terre-net.fr;http://www.domaine-dozon.fr;247931767;247939593;Mme Dozon;"auditif ; visuel ; moteur ; mental";52 rue du Rouilly;Centre;INDRE-ET-LOIRE
Camping;Camping La Citadelle;camping@lacitadelle.com;http://www.lacitadelle.com;247590591;247590035;M. Gilles Drouet;"auditif ; visuel ; moteur ; mental";1 rue Aristide Briand;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de Tourisme du Lochois;tourisme.loches@tourainecotesud.com;http://www.loches-tourainecotesud.com;247918282;;Mme Caroline Krier;"auditif ; moteur ; mental";Place de la Marne BP 112;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;GŒte rural de M. et Me Fusil;hugues.fusil@club-internet.fr;http://www.gites-touraine.com;"00247302455 ;0247275610 (r‚sa)";247481339;M. Fusil;"auditif ; mental";17 rue du G‚n‚ral de Gaulle;Centre;INDRE-ET-LOIRE
Lieu de visite;Maison du Souvenir;maison-du-souvenir@maille.fr;http://www.maisondusouvenir.fr;247652489;247652189;MM. Eliaume et  Martin;"auditif ; mental ; moteur ; visuel";Rue de la Paix;Centre;INDRE-ET-LOIRE
H“tel;H“tel Pic Epeiche;contact@picepeiche.fr;http://www.picepeiche.fr;247731971;247731972;M.Fabien Anne;"visuel ; moteur ; mental";2 rue John Ropper;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de Tourisme du Val de l'Indre;ot-valdelindre@wanadoo.fr;http://www.ot-valdelindre.com;247269787;247262242;M. Turco;"auditif ; moteur ; mental";Esplanade de la Grange Rouge RD 910;Centre;INDRE-ET-LOIRE
Lieu de visite;Espace des Producteurs de Montlouis sur Loire;espace@cave-montlouis.com;http://www.cave-montlouis.com;247508098;247508134;M. Chevallier;"auditif ; visuel ; moteur ; mental";2 route de Saint Aignan;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;GŒte d'‚tape et de s‚jour Les Ecuries d'Anade;anade@laposte.net;http://www.anade.ffe.com;247508101;247508101;Mme Annie Berthier;mental;Rue du Clos du Houx;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de Tourisme;officedetourisme@ville-montlouis-loire.fr;http://www.tourisme-montlouis-loire.fr;247458510;247451574;Mme V‚ronique Roy;"auditif ; moteur ; mental";4 Place Abraham Courtemanche;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de Tourisme Val d'Indrois Montr‚sor;otsi.montresor@wanadoo.fr;http://www.tourisme-valdindrois-montresor.com;247927071;247927089;M. Robin;"moteur ; mental";43 Grande Rue;Centre;INDRE-ET-LOIRE
H“tel;H“tel Le Domaine des Th“meaux;hotel@domainedesthomeaux.fr;http://www.domainedesthomeaux.fr;247304014;247304332;M. Villemain;moteur;12 rue des Th“meaux;Centre;INDRE-ET-LOIRE
Loisirs;Air Touraine H‚licoptŠre;christel@airtouraine.fr;http://www.airtouraine.fr;247248144;247248144;M. Fabregat;"auditif ; visuel ; mental";H‚liport de Belleville;Centre;INDRE-ET-LOIRE
Loisirs;Salle de spectacle Oesia;mairie@ndoe.fr;http://www.oesia.fr;247413008;247492200;M. Galliot;"moteur ; mental";Rond-point de la ChassetiŠre RD 29 (site);Centre;INDRE-ET-LOIRE
Restaurant;Restaurant L'Arche de Meslay;archedemeslay@wanadoo.fr;http://www.touraine-gourmande.com;247290007;247290404;M. Launay;"auditif ; visuel ; moteur ; mental";14 rue des Ailes;Centre;INDRE-ET-LOIRE
Lieu de visite;Centre d'interpr‚tation Espace Richelieu;carole.delabouillerie@ville-richelieu.fr;http://www.ville-richelieu.fr;247984870;;M. Herv‚ Novelli;"moteur ; mental";28 Grande Rue;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de Tourisme du Pays de Richelieu;contact@tourisme-richelieu.com;http://www.tourisme-richelieu.com;247581362;247582986;M. Olivier Blanc;"auditif ; moteur ; mental";Place de March‚;Centre;INDRE-ET-LOIRE
R‚sidence de tourisme;R‚sidence Le Relais du Plessis;info@relaisduplessis.com;http://www.relaisduplessis.com;247587550;247587599;M. Bournais;moteur;Route de Thuet La Coupure du Parc;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;Gite de Bourgneuf;contact@gite-bourgneuf.fr;http://www.gites-en-touraine.fr;247241641;247241641;M. Pascal Charpentier;"auditif ; moteur ; mental";Bourgneuf;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;GŒte Albisia;albisia.rivarennes@yahoo.fr;http://www.albisia.de;"00247931719 ;+44240273638";;M. Moebes;"auditif ; visuel ; moteur ; mental";2a route de la Gare;Centre;INDRE-ET-LOIRE
Chambre d'h“tes;Chambres d'h“tes les Chemins de Riviere;contact@lescheminsderiviere.fr;http://www.lescheminsderiviere.fr;684679147;;Mme Beyssac;"auditif ; mental ; moteur ; visuel";24 rue de la Croix Marie;Centre;INDRE-ET-LOIRE
Loisirs;Bateau Promenade Le St Martin de Tours;contact@naviloire.com;http://www.naviloire.com;247526888;247526392;M. Marchand;"auditif ; visuel ; moteur ; mental";56 quai de la Loire;Centre;INDRE-ET-LOIRE
Loisirs;Ponton Handipˆche de la Boire;mairie-spdc@wanadoo.fr;http://www.saintpierredescorps.fr;247634343;247634300;Mme Marie France Beaufils;"auditif ; visuel ; moteur ; mental";Rue du Colombier;Centre;INDRE-ET-LOIRE
Camping;Camping La Fritillaire;jeanlucdebart@yahoo.fr;http://www.camping-la-fritillaire.fr;247580379;247580381;M. Guionnet;"auditif ; mental ; moteur";Rue Basse;Centre;INDRE-ET-LOIRE
Lieu de visite;Ecomus‚e du V‚ron;ecomusee@cc-veron.fr;http://www.cc-veron.fr/ecomusee;247580905;247580615;Mme Michaux;"mental ; moteur";80 route de Candes;Centre;INDRE-ET-LOIRE
Chambre d'h“tes;Chambres d'h“tes Les Rosiers de Fanette;info@lesrosiersdefanette.com;http://www.lesrosiersdefanette.com;247501695;;Mme Savaton;"auditif ; moteur ; mental";25 route des Rosiers;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;Gite La Maison d'Ardoise;gerard-lalle@voila.fr;http://www.gites-touraine.com;247500505;;M. G‚rard Lalle;"auditif ; mental";La Maison d'Ardoise;Centre;INDRE-ET-LOIRE
Camping;Camping L'Arada Parc;info@laradaparc.com;http://www.laradaparc.com;247247269;247247270;Mme Avril;"auditif ; moteur ; mental";Rue de la BaratiŠre;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;GŒte de Mme Cadars;linette.cadars-taluau@orange.fr;;247978003;247979783;Mme Cadars;"auditif ; moteur ; mental";Les Devants de Chevrette;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;Meubl‚ de tourisme La Poterie;amenagement@gites-touraine.com;http://www.gites-touraine.com;247272766;247481339;M. et Mme Amarger;"auditif ; moteur";La Poterie;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;GŒte de S‚jour Le Logis de Bau;logisdebau@orange.fr;http://www.logisdebau.fr;247595953;;M. Ricou;"auditif ; mental ; moteur";Bau;Centre;INDRE-ET-LOIRE
Lieu de visite;Maison des Vins de Loire;d.bonnaud@vinsdeloire.fr;http://www.vinsdeloire.fr;247605521;;M. Jean-Pierre Gouvaze;"auditif ; moteur ; mental";25 rue du Grand March‚;Centre;INDRE-ET-LOIRE
H“tel;H“tel restaurant Ibis Tours centre Gare;H1431-gm@accor.com;http://www.ibishotel.com/fr/hotel-1431-ibis-tours-centre/index.shtml;247703535;247703510;M. Sylvain Laroche;mental;1 rue Maurice Genest;Centre;INDRE-ET-LOIRE
H“tel;H“tel restaurant Mercure Tours Nord;H1592@accor-hotels.com;http://www.mercuretours.com;247495500;247435525;M. Cordier;moteur;11 rue de l'Aviation;Centre;INDRE-ET-LOIRE
H“tel;H“tel Ronsard;contact@hotel-ronsard.com;http://www.hotel-ronsard.com;247052536;247660872;M. Savary;"moteur ; mental";2 rue Pimbert;Centre;INDRE-ET-LOIRE
Loisirs;Centre Dramatique R‚gional de Tours Nouvel Olympia;contact@cdrtours.fr;http://www.cdrtours.fr;247645050;247201726;M. Bouillon;moteur;7 rue de Luc‚;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de Tourisme de Tours Val de Loire;developpement@tours-tourisme.fr;http://www.tours-tourisme.fr;247703737;247611422;M. Patrick Lenoach;"auditif ; visuel ; moteur ; mental";78-82 rue Bernard Palissy CS 54201;Centre;INDRE-ET-LOIRE
Loisirs;Parc Kizou Aventures;tours@kizouaventures.fr;http://www.kizouaventures.fr;247516080;247419740;M. Coustes;"auditif ; visuel ; moteur ; mental";15 rue Arthur Rimbaud;Centre;INDRE-ET-LOIRE
Loisirs;Coop‚rative de Vannerie;info@vannerie.com;http://www.vannerie.com;247454303;247452749;M. Norbert Faure;"auditif ; visuel ; moteur ; mental";1 rue de la CheneillŠre;Centre;INDRE-ET-LOIRE
Lieu de visite;Mus‚e de l'Osier et de la Vannerie;museevannerie@paysazaylerideau.fr;http://www.musee-vannerie.fr;247452319;;M. Philippe Beauvillain;"moteur ; mental";7 Place de la Mairie;Centre;INDRE-ET-LOIRE
Loisirs;Les Attelages de Villandry;lesattelagesdevillandry@wanadoo.fr;;"00247501560 ; 0686757624";;M. Cretault;"visuel ; mental";Les Petites RiviŠres;Centre;INDRE-ET-LOIRE
Restaurant;Auberge l'Etape Gourmande;info@letapegourmande.com;http://www.letapegourmande.com;247500860;247500660;Mme de Montferrier;"auditif ; moteur ; mental";La GiraudiŠre;Centre;INDRE-ET-LOIRE
Lieu de visite;Cave des Producteurs de Vouvray Maison du Vouvray;cavedesproducteurs@cp-vouvray.com;http://www.cp-vouvray.com;247527503;247526641;M. Darragon;"auditif ; moteur ; mental";38 La Vall‚e Coquette;Centre;INDRE-ET-LOIRE
Loisirs;Parc Aquatique Natureo;infos@parc-natureo.fr;http://www.parc-natureo.fr;24791343455;247913459;M.Lagache;"auditif ; mental ; moteur ; visuel";1 All‚e des Lys;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de tourisme de Langeais-Castelvalerie;tourisme.langeais@orange.fr;http://www.tourisme-langeais.com;247965822;;M.Taffut;"auditif ; mental ; moteur ; visuel";19 rue Thiers;Centre;INDRE-ET-LOIRE
Restaurant;Restaurant l'Ambacia;restaurantlambacia@yahoo.fr;http://;247232144;;M.Gautillot;"auditif ; mental ; moteur";12 Place Michel Debr‚;Centre;INDRE-ET-LOIRE
Loisirs;Ponton de pˆche - Pˆche de Monts;31aappma.monts@gmail.com;http://www.defepeche37.fr;247265765;;M.Chataignier;"auditif ; mental ; moteur ; visuel";120 rue du Val de l'Indre;Centre;INDRE-ET-LOIRE
Office de tourisme;Office de tourisme de Vouvray;office-tourisme-vouvray@wanadoo.fr;http://www.tourismevouvray-valdeloire.com;247526873;;Mme Bruere;"auditif ; mental ; moteur ; visuel";12 Rue de Rabelais;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;Meubl‚ Le Clos du Coteau;reservation@gites-touraine.com;http://www.perso.gites-touraine.com/leclosducoteau/;247275610;247481339;Mme Rouquette;"auditif ; mental ; visuel";4 Route Saint-Gilles;Centre;INDRE-ET-LOIRE
Meubl‚ de tourisme;Gite de groupe Pic Epeiche;contact@eco-gite-sejour-picepeiche.com;http://www.eco-gite-sejour-picepeiche.com;247958308;;Mme Archaimbault;"mental ; moteur ; visuel";1 Impasse de la RouillŠre;Centre;INDRE-ET-LOIRE
